Record,Location,X,Y,Longitude,Latitude,Year,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type
6284,HIGHWAY 416 btwn HWY416 IC42 RAMP24 & END,372010.24752,4994304.25393,-75.64623,45.08553,2017,2017-06-04,2:49:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6285,HIGHWAY 416 btwn HWY416 IC42 RAMP24 & END,372414.74718,4994114.01989,-75.64112,45.08378,2017,2017-02-07,8:50:00 AM,01 - Clear,01 - Dry,10 - No control,07 - Overpass or bridge,01 - Daylight,03 - P.D. only,07 - SMV other
6286,HIGHWAY 416 btwn HWY416 IC42 RAMP24 & END,372239.56379,4994192.60564,-75.64333,45.08450,2017,2017-01-17,8:45:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6287,HIGHWAY 416 btwn HWY416 IC42 RAMP24 & END,372319.86568,4994159.27987,-75.64232,45.08419,2017,2017-11-17,11:23:00 AM,02 - Rain,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6288,HIGHWAY 416 btwn HWY416 IC42 RAMP34 & HWY416 IC42 RAMP43,371384.62881,4995306.61233,-75.65404,45.09460,2017,2017-12-15,10:40:00 PM,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6289,HIGHWAY 416 btwn HWY416 IC42 RAMP34 & HWY416 IC42 RAMP43,371357.22385,4995366.45692,-75.65438,45.09515,2017,2017-08-14,6:55:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
6290,HIGHWAY 416 btwn HWY416 IC42 RAMP34 & HWY416 IC42 RAMP43,371369.66325,4995337.52793,-75.65423,45.09488,2017,2017-06-19,9:48:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6291,HIGHWAY 416 btwn HWY416 IC42 RAMP42 & HWY416 IC42 RAMP24,371568.02956,4994980.95684,-75.65176,45.09166,2017,2017-12-09,3:05:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6292,HIGHWAY 416 btwn HWY416 IC42 RAMP43 & END,372113.13329,4994197.34666,-75.64494,45.08455,2017,2017-11-18,12:10:00 PM,04 - Freezing Rain,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end
6293,HIGHWAY 416 btwn HWY416 IC42 RAMP43 & END,372227.43352,4994163.47993,-75.64349,45.08424,2017,2017-11-18,12:00:00 PM,04 - Freezing Rain,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end
6294,HIGHWAY 416 btwn HWY416 IC42 RAMP43 & END,372104.66661,4994210.04669,-75.64504,45.08467,2017,2017-11-18,12:05:00 PM,04 - Freezing Rain,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6295,HIGHWAY 416 btwn HWY416 IC42 RAMP43 & END,372477.08036,4994045.79042,-75.64033,45.08316,2017,2017-12-04,10:00:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6296,HIGHWAY 416 btwn HWY416 IC42 RAMP43 & END,372257.06692,4994142.31322,-75.64312,45.08405,2017,2017-11-18,11:50:00 AM,04 - Freezing Rain,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,04 - Sideswipe
6297,HIGHWAY 416 btwn HWY416 IC42 RAMP43 & END,372398.34081,4994081.87829,-75.64133,45.08349,2017,2017-01-13,11:15:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6298,HIGHWAY 416 btwn HWY416 IC49 RAMP24 & HWY416 IC42 RAMP42,370154.14732,4997248.47661,-75.66942,45.11219,2017,2017-11-18,1:27:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6299,HIGHWAY 416 btwn HWY416 IC49 RAMP24 & HWY416 IC42 RAMP42,370501.49773,4996834.04539,-75.66506,45.10843,2017,2017-09-09,7:12:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
6300,HIGHWAY 416 btwn HWY416 IC49 RAMP24 & HWY416 IC42 RAMP42,369696.10453,4998717.82585,-75.67505,45.12546,2017,2017-05-22,10:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
6301,HIGHWAY 416 btwn HWY416 IC49 RAMP24 & HWY416 IC42 RAMP42,369698.83803,4998656.92299,-75.67502,45.12491,2017,2017-06-22,12:05:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6302,HIGHWAY 416 btwn HWY416 IC49 RAMP42 & HWY416 IC49 RAMP24,369292.03159,5000861.69869,-75.67991,45.14478,2017,2017-11-14,8:04:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6303,HIGHWAY 416 btwn HWY416 IC49 RAMP42 & HWY416 IC49 RAMP24,369295.20001,5000853.30690,-75.67987,45.14471,2017,2017-05-22,10:00:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6304,HIGHWAY 416 btwn HWY416 IC49 RAMP42 & HWY416 IC49 RAMP24,369300.11815,5000819.32395,-75.67981,45.14440,2017,2017-05-06,1:15:00 AM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other
6305,HIGHWAY 416 btwn HWY416 IC49 RAMP43 & HWY416 IC42 RAMP34,369674.88420,4998812.44566,-75.67531,45.12631,2017,2017-08-11,11:30:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other
6306,HIGHWAY 416 btwn HWY416 IC49 RAMP43 & HWY416 IC42 RAMP34,369651.62959,4998699.49741,-75.67562,45.12529,2017,2017-01-30,3:30:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
6307,HIGHWAY 416 btwn HWY416 IC49 RAMP43 & HWY416 IC42 RAMP34,369663.20701,4998858.29972,-75.67545,45.12672,2017,2017-03-07,5:06:00 PM,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6308,HIGHWAY 416 btwn HWY416 IC57 RAMP24 & HWY416 IC49 RAMP42,367685.73577,5003911.79783,-75.69995,45.17237,2017,2017-10-26,6:30:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,03 - Rear end
6309,HIGHWAY 416 btwn HWY416 IC57 RAMP24 & HWY416 IC49 RAMP42,365293.08093,5007125.32668,-75.73000,45.20150,2017,2017-08-04,6:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,03 - Dawn,03 - P.D. only,07 - SMV other
6310,HIGHWAY 416 btwn HWY416 IC57 RAMP24 & HWY416 IC49 RAMP42,366523.07993,5005223.38379,-75.71458,45.18428,2017,2017-11-01,5:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6311,HIGHWAY 416 btwn HWY416 IC57 RAMP24 & HWY416 IC49 RAMP42,369045.51765,5001630.38739,-75.68295,45.15172,2017,2017-03-24,7:20:00 PM,03 - Snow,04 - Slush,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,04 - Sideswipe
6312,HIGHWAY 416 btwn HWY416 IC57 RAMP24 & HWY416 IC49 RAMP42,365791.92835,5006284.77928,-75.72375,45.19389,2017,2017-01-24,6:50:00 PM,03 - Snow,04 - Slush,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6313,HIGHWAY 416 btwn HWY416 IC57 RAMP24 & HWY416 IC49 RAMP42,365794.47337,5006264.22020,-75.72372,45.19371,2017,2017-04-30,11:59:00 AM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6314,HIGHWAY 416 btwn HWY416 IC57 RAMP34 & HWY416 IC57 RAMP43,364610.65700,5008212.09433,-75.73855,45.21134,2017,2017-04-14,8:43:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6315,HIGHWAY 416 btwn HWY416 IC57 RAMP34 & HWY416 IC57 RAMP43,364609.74605,5008209.61757,-75.73856,45.21131,2017,2017-06-07,9:33:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6316,HIGHWAY 416 btwn HWY416 IC57 RAMP53 & HWY416 IC49 RAMP34,366163.15967,5005579.07365,-75.71911,45.18751,2017,2017-02-07,8:10:00 AM,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6317,HIGHWAY 416 btwn HWY416 IC66 RAMP24 & HWY416 IC57 RAMP62,361333.22937,5012299.01496,-75.77981,45.24838,2017,2017-12-20,7:47:00 AM,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,03 - Dawn,03 - P.D. only,07 - SMV other
6318,HIGHWAY 416 btwn HWY416 IC66 RAMP24 & HWY416 IC57 RAMP62,363806.68632,5009889.56614,-75.74859,45.22650,2017,2017-12-20,7:29:00 AM,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,03 - Dawn,03 - P.D. only,07 - SMV other
6319,HIGHWAY 416 btwn HWY416 IC66 RAMP24 & HWY416 IC57 RAMP62,363854.34875,5009813.38241,-75.74799,45.22581,2017,2017-03-24,4:45:00 PM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6320,HIGHWAY 416 btwn HWY416 IC66 RAMP24 & HWY416 IC57 RAMP62,363810.44013,5009877.52348,-75.74854,45.22639,2017,2017-05-04,3:30:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6321,HIGHWAY 416 btwn HWY416 IC66 RAMP24 & HWY416 IC57 RAMP62,363805.40977,5009894.57976,-75.74860,45.22654,2017,2017-05-08,12:54:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
6322,HIGHWAY 416 btwn HWY416 IC66 RAMP24 & HWY416 IC57 RAMP62,363811.21211,5009880.13331,-75.74853,45.22641,2017,2017-06-28,4:15:00 PM,00 - Unknown,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end
6323,HIGHWAY 416 btwn HWY416 IC66 RAMP24 & HWY416 IC57 RAMP62,363810.43646,5009869.68932,-75.74854,45.22632,2017,2017-01-04,4:30:00 AM,03 - Snow,04 - Slush,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6324,HIGHWAY 416 btwn HWY416 IC66 RAMP34 & HWY416 IC66 RAMP63,359962.77060,5014907.62151,-75.79698,45.27196,2017,2017-12-23,12:58:00 AM,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6325,HIGHWAY 416 btwn HWY416 IC66 RAMP34 & HWY416 IC66 RAMP63,359902.29028,5015005.40130,-75.79774,45.27285,2017,2017-03-29,9:30:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6326,HIGHWAY 416 btwn HWY416 IC66 RAMP34 & HWY416 IC66 RAMP63,359891.25330,5015024.30297,-75.79788,45.27302,2017,2017-06-17,3:10:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6327,HIGHWAY 416 btwn HWY416 IC66 RAMP34 & HWY416 IC72 RAMP53,360291.33012,5017977.66549,-75.79245,45.29956,2017,2017-08-16,1:46:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
6328,HIGHWAY 416 btwn HWY416 IC66 RAMP34 & HWY416 IC72 RAMP53,360288.68464,5018057.55448,-75.79247,45.30028,2017,2017-11-30,7:30:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,99 - Other
6329,HIGHWAY 416 btwn HWY416 IC66 RAMP34 & HWY416 IC72 RAMP53,359491.10794,5015642.73967,-75.80291,45.27861,2017,2017-12-16,3:30:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end
6330,HIGHWAY 416 btwn HWY416 IC66 RAMP34 & HWY416 IC72 RAMP53,360273.95120,5017838.79732,-75.79268,45.29831,2017,2017-09-12,7:50:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6331,HIGHWAY 416 btwn HWY416 IC66 RAMP34 & HWY416 IC72 RAMP53,360218.82219,5017696.84804,-75.79340,45.29704,2017,2017-03-24,10:16:00 PM,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6332,HIGHWAY 416 btwn HWY416 IC66 RAMP34 & HWY416 IC72 RAMP53,360238.85336,5017746.41392,-75.79314,45.29748,2017,2017-04-11,12:10:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6333,HIGHWAY 416 btwn HWY416 IC66 RAMP52 & HWY416 IC66 RAMP24,360182.27748,5014595.08531,-75.79421,45.26913,2017,2017-10-22,11:15:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other
6334,HIGHWAY 416 btwn HWY416 IC66 RAMP52 & HWY416 IC66 RAMP24,360136.55526,5014683.65037,-75.79479,45.26993,2017,2017-08-22,1:00:00 PM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
6335,HIGHWAY 416 btwn HWY416 IC66 RAMP53 & HWY416 IC57 RAMP34,361769.49177,5012003.94644,-75.77429,45.24569,2017,2017-11-18,11:50:00 AM,04 - Freezing Rain,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end
6336,HIGHWAY 416 btwn HWY416 IC66 RAMP53 & HWY416 IC57 RAMP34,361121.55707,5012513.27803,-75.78248,45.25033,2017,2017-09-06,7:38:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,05 - Dusk,03 - P.D. only,07 - SMV other
6337,HIGHWAY 416 btwn HWY416 IC66 RAMP53 & HWY416 IC57 RAMP34,363781.15405,5009867.43940,-75.74892,45.22630,2017,2017-09-06,8:50:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6338,HIGHWAY 416 btwn HWY416 IC66 RAMP53 & HWY416 IC57 RAMP34,361921.89208,5011972.19638,-75.77235,45.24539,2017,2017-11-18,11:50:00 AM,04 - Freezing Rain,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end
6339,HIGHWAY 416 btwn HWY416 IC66 RAMP53 & HWY416 IC57 RAMP34,361464.69116,5012118.24667,-75.77816,45.24674,2017,2017-11-18,11:50:00 AM,04 - Freezing Rain,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6340,HIGHWAY 416 btwn HWY416 IC66 RAMP53 & HWY416 IC57 RAMP34,360439.83481,5014126.65754,-75.79098,45.26490,2017,2017-02-05,12:05:00 PM,03 - Snow,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end
6341,HIGHWAY 416 btwn HWY416 IC66 RAMP53 & HWY416 IC57 RAMP34,363835.56134,5009740.25490,-75.74824,45.22515,2017,2017-01-02,7:27:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6342,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC66 RAMP52,359997.28101,5014910.41609,-75.79654,45.27198,2017,2017-11-08,7:30:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6343,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC66 RAMP52,359999.02678,5014895.44806,-75.79652,45.27185,2017,2017-12-01,8:15:00 AM,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6344,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC66 RAMP52,359932.73533,5015009.82095,-75.79735,45.27288,2017,2017-11-06,6:30:00 AM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,03 - Dawn,03 - P.D. only,07 - SMV other
6345,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC66 RAMP52,359998.71325,5014898.29835,-75.79652,45.27188,2017,2017-09-02,7:50:00 PM,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,05 - Dusk,03 - P.D. only,07 - SMV other
6346,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC66 RAMP52,359998.35213,5014912.45409,-75.79652,45.27200,2017,2017-11-06,6:32:00 AM,"07 - Fog, mist, smoke, dust",02 - Wet,10 - No control,01 - Non intersection,03 - Dawn,03 - P.D. only,07 - SMV other
6347,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC66 RAMP52,360000.13739,5014907.26641,-75.79650,45.27196,2017,2017-04-07,2:46:00 AM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other
6348,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC66 RAMP52,359960.95458,5014963.14540,-75.79699,45.27246,2017,2017-01-15,8:10:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6349,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360310.20139,5017867.44685,-75.79222,45.29857,2017,2017-12-12,7:16:00 AM,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,03 - Dawn,02 - Non-fatal injury,03 - Rear end
6350,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360284.80133,5017773.46666,-75.79255,45.29772,2017,2017-12-12,7:16:00 AM,03 - Snow,05 - Packed snow,10 - No control,01 - Non intersection,03 - Dawn,02 - Non-fatal injury,03 - Rear end
6351,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360024.78349,5017396.15342,-75.79591,45.29435,2017,2017-11-25,12:45:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6352,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360080.85870,5017457.13733,-75.79519,45.29489,2017,2017-12-18,11:45:00 AM,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6353,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,359679.68607,5015418.71622,-75.80053,45.27658,2017,2017-12-19,6:38:00 AM,01 - Clear,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6354,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360309.03779,5017879.72645,-75.79223,45.29868,2017,2017-10-01,7:50:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,03 - Rear end
6355,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,359637.51299,5015494.68409,-75.80106,45.27727,2017,2017-03-31,11:25:00 PM,03 - Snow,04 - Slush,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6356,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,359628.01559,5015493.65025,-75.80118,45.27726,2017,2017-03-14,2:50:00 PM,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
6357,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360314.66515,5017890.54744,-75.79216,45.29877,2017,2017-02-13,6:40:00 AM,01 - Clear,04 - Slush,10 - No control,01 - Non intersection,03 - Dawn,03 - P.D. only,07 - SMV other
6358,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360307.33749,5017954.62786,-75.79224,45.29935,2017,2017-03-24,1:15:00 PM,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6359,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360310.10851,5017891.78137,-75.79222,45.29879,2017,2017-05-01,1:40:00 AM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6360,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360312.27490,5017864.20584,-75.79219,45.29854,2017,2017-04-30,10:30:00 PM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6361,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360316.51300,5017943.61943,-75.79213,45.29925,2017,2017-02-11,10:35:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6362,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360307.29610,5017829.39397,-75.79226,45.29823,2017,2017-03-29,5:15:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
6363,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360321.35566,5017980.21550,-75.79206,45.29958,2017,2017-02-15,7:15:00 PM,03 - Snow,04 - Slush,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6364,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360307.05467,5017870.60567,-75.79226,45.29860,2017,2017-04-06,9:54:00 PM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6365,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360260.34502,5017691.16896,-75.79287,45.29698,2017,2017-05-29,7:04:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end
6366,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,360288.32342,5017774.58539,-75.79251,45.29773,2017,2017-03-15,8:45:00 AM,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6367,HIGHWAY 416 btwn HWY416 IC66 RAMP63 & HWY416 IC66 RAMP53,360143.64279,5014615.96821,-75.79470,45.26932,2017,2017-01-03,10:10:00 AM,04 - Freezing Rain,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
6368,HIGHWAY 416 btwn HWY416 IC72 RAMP34 & HWY416 IC72 RAMP63,359398.30464,5019707.03946,-75.80364,45.31519,2017,2017-11-23,9:50:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6369,HIGHWAY 416 btwn HWY416 IC72 RAMP34 & HWY416 IC72 RAMP63,359436.71939,5019641.77821,-75.80316,45.31460,2017,2017-06-19,5:25:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
6370,HIGHWAY 416 btwn HWY416 IC72 RAMP62 & HWY416 IC72 RAMP24,359454.58729,5019664.89324,-75.80293,45.31481,2017,2017-11-20,10:00:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6371,HIGHWAY 416 btwn HWY416 IC72 RAMP62 & HWY416 IC72 RAMP24,359454.55235,5019670.72797,-75.80293,45.31486,2017,2017-11-24,7:30:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6372,HIGHWAY 416 btwn HWY416 IC72 RAMP62 & HWY416 IC72 RAMP24,359453.74740,5019655.40963,-75.80294,45.31472,2017,2017-06-07,10:45:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,04 - Sideswipe
6373,HIGHWAY 416 btwn HWY416 IC72 RAMP62 & HWY416 IC72 RAMP24,359453.78596,5019662.40909,-75.80294,45.31479,2017,2017-03-31,11:30:00 PM,03 - Snow,04 - Slush,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6374,HIGHWAY 416 btwn HWY416 IC72 RAMP62 & HWY416 IC72 RAMP24,359457.41343,5019657.96764,-75.80289,45.31475,2017,2017-02-13,12:50:00 AM,01 - Clear,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6375,HIGHWAY 416 btwn HWY416 IC72 RAMP63 & HWY416 IC72 RAMP53,359601.32691,5019345.26422,-75.80109,45.31192,2017,2017-12-19,11:06:00 PM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other
6376,HIGHWAY 416 btwn HWY416 IC72 RAMP63 & HWY416 IC72 RAMP53,359715.67295,5019149.06284,-75.79966,45.31015,2017,2017-07-14,3:00:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
6377,HIGHWAY 416 btwn HWY416 IC75A RAMP26 & HWY416 IC72 RAMP62,358980.02676,5021441.63751,-75.80879,45.33083,2017,2017-12-07,6:35:00 AM,03 - Snow,06 - Ice,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
6378,HIGHWAY 416 btwn HWY416 IC75A RAMP26 & HWY416 IC72 RAMP62,358907.64706,5021601.84055,-75.80969,45.33228,2017,2017-10-11,8:35:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,04 - Sideswipe
6379,HIGHWAY 416 btwn HWY416 IC75A RAMP26 & HWY416 IC72 RAMP62,358909.45694,5021585.51295,-75.80967,45.33213,2017,2017-09-11,2:10:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end
